CountryInitials,CountryName,FileName
IS,Iceland,Iceland.png
ME,Montenegro,Montenegro.png
MK,Macedonia,Macedonia.png
RS,Serbia,Serbia.png
TR,Turkey,Turkey.png
XK,Kosovo,Kosovo.png
AT,Austria,Austria.png
BE,Belgium,Belgium.png
BG,Bulgaria,Bulgaria.png
CY,Cyprus,Cyprus.png
CZ,Czech Republic,Czech Republic.png
DE,Germany,Germany.png
DK,Denmark,Denmark.png
EE,Estonia,Estonia.png
EL,Greece,Greece.png
ES,Spain,Spain.png
FI,Finland,Finland.png
FR,France,France.png
HR,Croatia,Croatia.png
HU,Hungary,Hungary.png
IE,Ireland,Ireland.png
IT,Italy,Italy.png
LT,Lithuania,Lithuania.png
LU,Luxembourg,Luxembourg.png
LV,Latvia,Latvia.png
MT,Malta,Malta.png
NL,Netherlands,Netherlands.png
PL,Poland,Poland.png
PT,Portugal,Portugal.png
RO,Romania,Romania.png
SE,Sweden,Sweden.png
SI,Slovenia,Slovenia.png
SK,Slovak Republic,Slovak Republic.png
UK,United Kingdom,United Kingdom.png
