CountryCode,question,"Both work and home conflict,b","Either work or home conflict,b","No or weak conflict,b","Both work and home conflict,f","Either work or home conflict,f","No or weak conflict,f","Both work and home conflict,m","Either work or home conflict,m","No or weak conflict,m"
IS,Stress,7,46.7,46.3,8.1,50.7,41.2,6,43.2,50.8
ME,Stress,29.7,43.9,26.4,30.5,48.5,21.1,29.2,40.3,30.5
MK,Stress,22.9,48.7,28.5,26.1,52,21.9,20.7,46.4,32.9
RS,Stress,25.3,55.2,19.5,28.8,56.2,15.1,22.8,54.6,22.7
TR,Stress,39.7,36.2,24.1,38.2,42.3,19.5,40,35.1,24.9
XK,Stress,32.4,33.3,34.3,31.2,37.2,31.7,32.9,31.7,35.4
AT,Stress,11.7,39.4,48.9,14.6,38.1,47.3,9.2,40.6,50.3
BE,Stress,10.6,41,48.4,12.9,44.7,42.4,8.6,37.6,53.8
BG,Stress,18.9,48.8,32.2,19.2,45.7,35.1,18.7,51.8,29.5
CY,Stress,22,56.4,21.5,25.2,60.9,13.9,19.8,53.3,26.9
CZ,Stress,20.4,41.9,37.7,22.3,38,39.7,18.8,45.2,36
DE,Stress,8.3,42,49.7,7.8,42.2,50,8.7,41.9,49.4
DK,Stress,4.8,39.6,55.6,5.6,41.3,53.1,4.1,38,57.9
EE,Stress,9.7,56.9,33.5,9,57,34,10.4,56.7,32.9
EL,Stress,18.7,56.5,24.8,21.7,52.2,26.1,16.6,59.5,23.9
ES,Stress,20.5,51.4,28.1,24.6,53.2,22.2,17.2,49.9,33
FI,Stress,6.7,41.8,51.5,10.3,42.3,47.4,3.2,41.2,55.6
FR,Stress,11,48.4,40.7,12.3,49.6,38.1,9.7,47.2,43
HR,Stress,19,56.9,24.1,19.4,54.9,25.7,18.6,58.6,22.8
HU,Stress,22.5,39.5,37.9,26.4,34.6,39.1,19,44.2,36.9
IE,Stress,12.6,46.5,40.9,12.1,49.5,38.5,13.1,43.7,43.2
IT,Stress,7.5,33.5,59,9.3,35,55.7,6.2,32.5,61.3
LT,Stress,10.2,36.1,53.6,11.9,38.2,50,8.7,34.2,57.2
LU,Stress,9.2,47.7,43.1,12.8,46.7,40.5,6.1,48.6,45.3
LV,Stress,25.1,47.1,27.9,26.2,49.3,24.5,23.9,44.8,31.3
MT,Stress,16.1,51.3,32.6,14.8,57.7,27.5,16.9,47.6,35.5
NL,Stress,4.6,35.9,59.6,7.7,39.8,52.6,1.9,32.5,65.6
PL,Stress,25.1,40.3,34.6,26.2,42.6,31.2,24.1,38.4,37.5
PT,Stress,15.5,37.6,46.9,16.8,44.2,39.1,14.5,32.2,53.3
RO,Stress,15.3,47.3,37.4,18.8,47.2,33.9,12.6,47.3,40.1
SE,Stress,6.4,50.8,42.8,8.5,55.4,36.1,4.5,46.5,49
SI,Stress,15,34.6,50.4,11.8,37.8,50.4,17.8,31.7,50.4
SK,Stress,18.6,30.8,50.5,22.5,26.7,50.8,15.3,34.4,50.3
UK,Stress,14.5,47.6,37.9,14.4,52.5,33.1,14.7,42.9,42.4
