CountryCode,question,"Never,b","Less often,b","One to three times a month,b","At least once a week,b","Every day or almost every day,b","Never,f","Less often,f","One to three times a month,f","At least once a week,f","Every day or almost every day,f","Never,m","Less often,m","One to three times a month,m","At least once a week,m","Every day or almost every day,m"
IS,Face-to-face contact with friends or neighbours living outside the household,0.5,3.9,13.3,40.4,41.9,0.9,4.2,13.9,39,42,0.1,3.6,12.8,41.8,41.8
ME,Face-to-face contact with friends or neighbours living outside the household,1.3,2.5,2.9,19.6,73.8,1.9,3.5,3.8,18.7,72.1,0.6,1.4,1.9,20.6,75.5
MK,Face-to-face contact with friends or neighbours living outside the household,0.7,9.6,10.4,29.4,49.9,0.6,9.1,11.3,30.8,48.2,0.8,10.1,9.5,28,51.7
RS,Face-to-face contact with friends or neighbours living outside the household,0.3,0.5,2.7,22.8,73.7,0.4,,2.4,25.5,71.8,0.3,1,3,19.9,75.7
TR,Face-to-face contact with friends or neighbours living outside the household,1.1,2,9.1,30,57.7,1.6,2.1,9.6,28.4,58.4,0.6,2,8.7,31.7,57
XK,Face-to-face contact with friends or neighbours living outside the household,4.8,28.9,20.5,28.3,17.5,4.8,29.8,18.5,30.5,16.4,4.8,28.1,22.3,26.3,18.4
AT,Face-to-face contact with friends or neighbours living outside the household,0.5,4.1,14.7,46.3,34.4,0.5,4.3,14.2,46.6,34.4,0.5,3.8,15.3,46,34.3
BE,Face-to-face contact with friends or neighbours living outside the household,1.3,7.8,14.7,48.6,27.7,1.8,6.2,17.7,46.5,27.9,0.7,9.4,11.5,50.9,27.4
BG,Face-to-face contact with friends or neighbours living outside the household,0.5,6.8,7.2,25.3,60.3,0.4,7.8,6.6,25.3,59.9,0.6,5.7,7.8,25.2,60.7
CY,Face-to-face contact with friends or neighbours living outside the household,2.6,5.8,5.7,32.8,53.1,1.9,7.6,6.3,33.9,50.3,3.3,4,5.1,31.6,56
CZ,Face-to-face contact with friends or neighbours living outside the household,0.9,6.5,16,47.9,28.7,1.1,6.9,17,47.4,27.6,0.6,6.1,15.1,48.4,29.8
DE,Face-to-face contact with friends or neighbours living outside the household,0.6,5.5,10.5,42.1,41.3,0.7,4.9,10.1,42.9,41.4,0.4,6.1,11,41.3,41.2
DK,Face-to-face contact with friends or neighbours living outside the household,0.7,4.1,18.8,40.1,36.3,0.8,4.5,18.8,44.3,31.6,0.5,3.7,18.7,35.7,41.3
EE,Face-to-face contact with friends or neighbours living outside the household,0.8,4.9,12,40.9,41.5,0.4,6.1,10.5,42.6,40.4,1.3,3.4,13.7,38.9,42.7
EL,Face-to-face contact with friends or neighbours living outside the household,0.6,3.7,6.5,28.2,61,,4,7.8,27,61.3,1.2,3.4,5.1,29.5,60.8
ES,Face-to-face contact with friends or neighbours living outside the household,0.8,4.6,8.7,33.7,52.1,0.7,5,9.1,32.8,52.4,1,4.3,8.3,34.6,51.8
