CountryCode,question,"Strongly disagree,b","Disagree,b","Neither agree nor disagree,b","Agree,b","Strongly agree,b","Strongly disagree,f","Disagree,f","Neither agree nor disagree,f","Agree,f","Strongly agree,f","Strongly disagree,m","Disagree,m","Neither agree nor disagree,m","Agree,m","Strongly agree,m"
IS,In my daily life I seldom have time to do things I really enjoy,13.8,47.3,20.8,15.2,2.9,13.7,50.5,19,13.4,3.3,13.9,44.1,22.7,17,2.4
ME,In my daily life I seldom have time to do things I really enjoy,8.4,27.6,26,24.4,13.6,9.2,27.8,28.1,22.8,12.1,7.5,27.4,23.8,26.2,15.1
MK,In my daily life I seldom have time to do things I really enjoy,6.8,31.4,28.7,26.3,6.8,6.4,32,24.2,28.5,8.8,7.2,30.7,33.3,24,4.8
RS,In my daily life I seldom have time to do things I really enjoy,8.4,28,26.4,27.1,10.1,7.5,26,25.9,29.5,11.1,9.5,30.2,26.8,24.6,8.9
TR,In my daily life I seldom have time to do things I really enjoy,7.8,17.5,24.9,38.5,11.3,6.7,16.8,25.4,38.9,12.2,9,18.1,24.5,38.1,10.3
XK,In my daily life I seldom have time to do things I really enjoy,1.7,20.2,33.5,31.7,13,2.7,23.4,31.9,29.2,12.8,0.7,17.2,35,34,13.1
AT,In my daily life I seldom have time to do things I really enjoy,17.3,35.8,18.7,19.6,8.5,16.3,34.1,22.3,19.2,8.1,18.5,37.7,14.8,20.1,9
BE,In my daily life I seldom have time to do things I really enjoy,10.7,40.3,16.9,25,7.2,10.8,39.7,17.7,25.7,6.2,10.6,40.9,16.1,24.1,8.3
BG,In my daily life I seldom have time to do things I really enjoy,9.9,27,26.3,26,10.7,8.8,27.4,28.2,25.9,9.7,11.2,26.6,24.3,26.1,11.8
CY,In my daily life I seldom have time to do things I really enjoy,6.1,39.7,10.3,22.6,21.2,4.9,37.6,11.9,24.1,21.5,7.3,42,8.6,21.1,21
CZ,In my daily life I seldom have time to do things I really enjoy,9.9,35,24.2,24.9,6,9.1,35.4,24.8,24.1,6.6,10.7,34.5,23.6,25.8,5.4
DE,In my daily life I seldom have time to do things I really enjoy,19.3,31.6,17.3,24.2,7.6,19.3,32.6,16,24.2,8,19.2,30.5,18.8,24.3,7.2
DK,In my daily life I seldom have time to do things I really enjoy,26.1,29.3,14.4,23,7.2,28.7,26.8,15.2,21.2,8,23.4,31.9,13.5,24.8,6.4
EE,In my daily life I seldom have time to do things I really enjoy,5.8,37.3,20.2,30.4,6.3,7.2,38.7,15.2,33.1,5.9,4.1,35.5,26.4,27,6.9
EL,In my daily life I seldom have time to do things I really enjoy,9.9,28,27.2,26.4,8.5,7.6,27.7,27.1,28,9.6,12.2,28.3,27.2,24.9,7.4
ES,In my daily life I seldom have time to do things I really enjoy,13.6,30.6,21.1,27.1,7.6,10.4,31.8,21.7,28.3,7.7,17,29.3,20.4,25.8,7.5
FI,In my daily life I seldom have time to do things I really enjoy,12.9,50.9,15.8,15.8,4.6,14.6,52.4,15.5,13.2,4.2,11.1,49.2,16,18.7,5
FR,In my daily life I seldom have time to do things I really enjoy,18.9,28,12.4,29,11.7,17.6,28.2,11.6,29.7,12.9,20.4,27.8,13.3,28.2,10.4
HR,In my daily life I seldom have time to do things I really enjoy,13.3,32.1,19.5,21.9,13.2,13.1,32.7,18.5,23.9,11.8,13.6,31.4,20.6,19.8,14.7
HU,In my daily life I seldom have time to do things I really enjoy,8.3,24,28.7,28.1,10.9,8.5,23.6,26,28.6,13.2,8,24.5,31.8,27.5,8.1
IE,In my daily life I seldom have time to do things I really enjoy,7.2,42.6,14.1,30.2,6,5.7,42.4,15.5,29.9,6.5,8.7,42.7,12.5,30.5,5.6
IT,In my daily life I seldom have time to do things I really enjoy,9.2,30.2,24.1,27.1,9.4,9.6,29.7,22.6,28.4,9.7,8.7,30.8,25.6,25.8,9.1
LT,In my daily life I seldom have time to do things I really enjoy,8.9,38.2,14.6,30.3,8,9.1,36.1,15.8,30.4,8.6,8.7,40.7,13.1,30.2,7.4
LU,In my daily life I seldom have time to do things I really enjoy,16.7,29,15.2,28.2,10.8,17,27.7,13.4,30,12,16.4,30.3,17.2,26.4,9.6
LV,In my daily life I seldom have time to do things I really enjoy,9.7,35.3,17.8,26,11.3,9.4,36.7,18.7,25.3,9.8,10,33.5,16.8,26.7,13.1
MT,In my daily life I seldom have time to do things I really enjoy,7.4,35.1,20.4,27.3,9.9,7.3,34.4,21.5,26.9,9.9,7.4,35.9,19.2,27.7,9.8
NL,In my daily life I seldom have time to do things I really enjoy,13.3,53,15.6,16,2.1,11.8,56.6,13.9,16,1.6,14.8,49.3,17.3,16,2.6
PL,In my daily life I seldom have time to do things I really enjoy,7.8,26.9,21.9,34.3,9.1,8.8,25.9,21.7,33.8,9.9,6.6,28.1,22.2,34.8,8.3
PT,In my daily life I seldom have time to do things I really enjoy,8.4,32.1,22.3,30.1,7.1,8.5,33.7,21.8,29.1,6.9,8.2,30.3,22.9,31.3,7.3
RO,In my daily life I seldom have time to do things I really enjoy,6.5,20.5,23.4,33.2,16.4,5.7,18.9,23.4,33.8,18.2,7.4,22.3,23.3,32.4,14.5
SE,In my daily life I seldom have time to do things I really enjoy,20.7,33.6,9.9,27.7,8.1,20.6,33.9,8.9,27.6,9,20.8,33.2,10.9,27.9,7.2
SI,In my daily life I seldom have time to do things I really enjoy,14.7,35.5,26.3,17.3,6.2,11.9,34.3,25.8,20.4,7.5,17.5,36.8,26.8,14,4.9
SK,In my daily life I seldom have time to do things I really enjoy,7.4,33.6,26,24.2,8.8,8.1,35.4,23.7,24.4,8.3,6.5,31.6,28.5,23.9,9.4
UK,In my daily life I seldom have time to do things I really enjoy,9,36.8,17.4,29.5,7.3,7.6,37.1,16.3,31.1,7.9,10.4,36.4,18.6,27.8,6.8
