CountryCode,question,"Mean,b","Mean,f","Mean,m"
IS,Satisfaction with present standard of living,7.7,7.6,7.7
ME,Satisfaction with present standard of living,6.1,6.3,5.9
MK,Satisfaction with present standard of living,5.8,5.8,5.8
RS,Satisfaction with present standard of living,5.3,5.2,5.4
TR,Satisfaction with present standard of living,5.9,5.8,5.9
XK,Satisfaction with present standard of living,5.8,5.7,5.9
AT,Satisfaction with present standard of living,8,7.9,8
BE,Satisfaction with present standard of living,7.4,7.4,7.3
BG,Satisfaction with present standard of living,4.7,4.6,4.8
CY,Satisfaction with present standard of living,7.5,7.5,7.4
CZ,Satisfaction with present standard of living,6.3,6.2,6.4
DE,Satisfaction with present standard of living,7.2,7.3,7.2
DK,Satisfaction with present standard of living,8.3,8.3,8.3
EE,Satisfaction with present standard of living,6.2,6.2,6.1
EL,Satisfaction with present standard of living,5.9,6,5.9
ES,Satisfaction with present standard of living,6.9,6.9,6.9
FI,Satisfaction with present standard of living,7.6,7.6,7.7
FR,Satisfaction with present standard of living,6.9,6.8,6.9
HR,Satisfaction with present standard of living,5.9,5.9,5.8
HU,Satisfaction with present standard of living,5.8,5.7,5.8
IE,Satisfaction with present standard of living,7.3,7.5,7.1
IT,Satisfaction with present standard of living,6.8,6.8,6.9
LT,Satisfaction with present standard of living,6.1,6.1,6.1
LU,Satisfaction with present standard of living,7.8,7.7,7.9
LV,Satisfaction with present standard of living,5.9,5.9,5.8
MT,Satisfaction with present standard of living,7,7,7
NL,Satisfaction with present standard of living,7.7,7.7,7.7
PL,Satisfaction with present standard of living,6.2,6.2,6.1
PT,Satisfaction with present standard of living,6.5,6.6,6.4
RO,Satisfaction with present standard of living,6.4,6.2,6.7
SE,Satisfaction with present standard of living,7.9,7.9,7.9
SI,Satisfaction with present standard of living,6.3,6.3,6.2
SK,Satisfaction with present standard of living,6.3,6.2,6.5
UK,Satisfaction with present standard of living,7.3,7.4,7.3
