CountryCode,question,"All of the time,b","Most of the time,b","More than half of the time,b","Less than half of the time,b","Some of the time,b","At no time,b","All of the time,f","Most of the time,f","More than half of the time,f","Less than half of the time,f","Some of the time,f","At no time,f","All of the time,m","Most of the time,m","More than half of the time,m","Less than half of the time,m","Some of the time,m","At no time,m"
IS,I have felt lonely,0.3,0.7,3.5,3.1,24.4,67.9,0.3,0.4,4.6,3.9,27.5,63.3,0.3,1,2.3,2.4,21.3,72.6
ME,I have felt lonely,3.4,1.4,1.9,8.4,30.3,54.6,3.8,2.1,2.7,8,32.8,50.6,3,0.6,1,8.9,27.5,58.9
MK,I have felt lonely,2.2,5,6.1,13.4,24.3,49,3,5.7,7.5,13,27.1,43.7,1.4,4.4,4.6,13.8,21.6,54.3
RS,I have felt lonely,2.9,4,6.5,12.5,22.9,51.4,5.2,5.4,7.3,14.1,23.8,44.1,0.3,2.4,5.5,10.6,21.8,59.3
TR,I have felt lonely,2.3,13.4,6.6,6.2,42.4,29,2.2,14,6.3,5.8,44.5,27.2,2.4,12.7,7,6.7,40.4,30.9
XK,I have felt lonely,3,6.7,7.8,16.6,27.6,38.3,4,7.1,7.2,18.3,30.1,33.2,2.1,6.3,8.4,15,25.3,42.9
AT,I have felt lonely,0.3,4.4,5.1,8.3,19.9,62,0.3,3.5,4.9,8.6,23.6,59.1,0.3,5.4,5.3,8.1,15.8,65.1
BE,I have felt lonely,3.1,5.4,4.4,9.4,22.7,55,4.1,7.1,4.6,9.9,22.8,51.5,2,3.6,4.2,8.9,22.5,58.8
BG,I have felt lonely,5.2,8,7.8,8.3,18,52.7,5.7,8.2,9.2,8.5,18.1,50.3,4.7,7.7,6.3,8,17.9,55.4
CY,I have felt lonely,11.2,6,1.7,4.8,11.6,64.7,15.7,8,2.2,4,12.3,57.8,6.5,3.9,1.2,5.8,10.8,71.8
CZ,I have felt lonely,1.5,6.2,9.3,10.4,31.6,41,1.7,8.4,9,10,34.3,36.7,1.4,3.8,9.7,10.8,28.7,45.5
DE,I have felt lonely,1,3.9,5.8,7.4,22.9,59.1,0.9,4.1,5.3,7.8,24.3,57.6,1.1,3.7,6.3,7,21.3,60.6
DK,I have felt lonely,0.4,1.7,2.3,5,15.6,75,0.2,1.2,2.2,5.5,16.8,74.2,0.7,2.3,2.5,4.4,14.3,75.8
EE,I have felt lonely,3.5,3.1,6.3,9.6,33.6,43.9,3.2,3.7,5.6,9.4,33.7,44.4,3.9,2.3,7.2,9.9,33.4,43.3
EL,I have felt lonely,6,9.5,10.3,15.5,22.5,36.3,7.5,10.1,11.4,15.2,23.5,32.2,4.4,8.8,9.1,15.7,21.6,40.4
ES,I have felt lonely,1,4.3,5.8,9.6,25.8,53.4,1.2,4.2,6.4,10,27.4,50.7,0.9,4.4,5.1,9.2,24.1,56.3
FI,I have felt lonely,0.9,2.2,3.2,6.4,25.8,61.5,0.9,2.6,3.4,6,26.6,60.5,0.9,1.9,2.9,6.8,24.9,62.6
FR,I have felt lonely,3.2,7.5,7.1,10.5,23.8,48,3.3,9.7,6.9,10.8,24.9,44.4,3,5,7.2,10.1,22.7,51.9
HR,I have felt lonely,1.2,4.8,4.3,11.3,25,53.4,1.7,6.8,4,13.5,25.6,48.4,0.7,2.5,4.7,8.9,24.3,58.8
HU,I have felt lonely,4.1,6.2,7.5,10.6,27.8,43.7,4.7,7.2,7.9,9.6,29.5,41.1,3.3,5.1,7.1,11.8,26,46.7
IE,I have felt lonely,1,2.7,4,5.4,21.8,65.2,0.8,3.6,4,5.2,23.3,63.1,1.3,1.7,3.9,5.6,20.2,67.4
IT,I have felt lonely,2.4,7.9,10,17,27.8,34.9,3.4,9.2,11,18.7,27.8,29.9,1.2,6.6,8.8,15.1,27.9,40.4
LT,I have felt lonely,3,5,5.8,10.6,26.9,48.7,2.9,5.8,6,10.9,28.4,46,3.2,4.1,5.6,10.2,25,51.9
LU,I have felt lonely,3.3,6.1,4.9,7.5,22.3,56,4.2,7.9,5.1,6.4,24.7,51.8,2.3,4.2,4.7,8.7,19.8,60.3
LV,I have felt lonely,2.6,4.7,4.8,9,31.1,47.9,2.2,5.2,5.7,9.6,32.7,44.6,3,4,3.7,8.3,29.1,52
MT,I have felt lonely,1.6,4.7,4.1,8.4,29.2,51.9,1.5,6.1,3,10.1,33.8,45.5,1.7,3.4,5.3,6.6,24.5,58.6
