CountryCode,question,"Major problems,b","Moderate problems,b","No problems,b","Major problems,f","Moderate problems,f","No problems,f","Major problems,m","Moderate problems,m","No problems,m"
IS,"Problems with crime, violence or vandalism in the neighbourhood",0.1,11.9,88,,12.5,87.5,0.2,11.2,88.6
ME,"Problems with crime, violence or vandalism in the neighbourhood",9.1,24.2,66.7,9.9,22.3,67.9,8.2,26.3,65.5
MK,"Problems with crime, violence or vandalism in the neighbourhood",5.3,29,65.7,5.9,29.2,64.8,4.6,28.8,66.6
RS,"Problems with crime, violence or vandalism in the neighbourhood",4.5,13.8,81.7,4.7,13.7,81.7,4.3,13.9,81.8
TR,"Problems with crime, violence or vandalism in the neighbourhood",11.9,19.1,69,11.7,18.6,69.6,12,19.6,68.4
XK,"Problems with crime, violence or vandalism in the neighbourhood",16.5,35.8,47.6,14.9,35,50.1,18,36.6,45.4
AT,"Problems with crime, violence or vandalism in the neighbourhood",4.5,25.6,69.9,3.6,27.3,69.1,5.4,23.8,70.8
BE,"Problems with crime, violence or vandalism in the neighbourhood",9.4,24.6,66,7.5,24.6,67.8,11.5,24.5,64
BG,"Problems with crime, violence or vandalism in the neighbourhood",9.6,33,57.4,10.9,34,55.1,8.2,31.9,59.9
CY,"Problems with crime, violence or vandalism in the neighbourhood",17.1,21.4,61.4,19,20.2,60.8,15.2,22.7,62.1
CZ,"Problems with crime, violence or vandalism in the neighbourhood",7.2,40.7,52.1,6.6,43.7,49.7,7.9,37.4,54.6
DE,"Problems with crime, violence or vandalism in the neighbourhood",6.1,28.3,65.6,6,28.8,65.2,6.1,27.8,66
DK,"Problems with crime, violence or vandalism in the neighbourhood",3.4,23.5,73.1,3.9,24.2,71.9,2.8,22.7,74.4
EE,"Problems with crime, violence or vandalism in the neighbourhood",2.3,29.5,68.1,2.2,34.9,62.9,2.6,23,74.4
EL,"Problems with crime, violence or vandalism in the neighbourhood",13.2,31.8,54.9,12.4,30.3,57.3,14.1,33.4,52.5
ES,"Problems with crime, violence or vandalism in the neighbourhood",3.2,18.7,78.1,4.6,20.4,75.1,1.8,17,81.2
FI,"Problems with crime, violence or vandalism in the neighbourhood",0.8,16.3,82.8,0.8,16,83.2,0.9,16.7,82.4
FR,"Problems with crime, violence or vandalism in the neighbourhood",6.2,24.7,69.1,5.7,24.5,69.8,6.7,25,68.3
HR,"Problems with crime, violence or vandalism in the neighbourhood",3.7,15.1,81.2,3.8,14.1,82.1,3.6,16.1,80.3
HU,"Problems with crime, violence or vandalism in the neighbourhood",9.3,30.4,60.2,10.3,30.8,58.9,8.2,30,61.8
IE,"Problems with crime, violence or vandalism in the neighbourhood",3.4,24.9,71.7,3.3,26.7,70,3.5,23.1,73.5
IT,"Problems with crime, violence or vandalism in the neighbourhood",7.7,36.3,56.1,7.5,36.6,55.9,7.8,35.9,56.3
LT,"Problems with crime, violence or vandalism in the neighbourhood",7.8,26.8,65.3,9.9,27.4,62.7,5.4,26.1,68.5
LU,"Problems with crime, violence or vandalism in the neighbourhood",2.5,18.9,78.6,2.4,19.2,78.4,2.5,18.7,78.8
LV,"Problems with crime, violence or vandalism in the neighbourhood",5.8,21.7,72.5,6.8,23.1,70.1,4.6,20,75.3
MT,"Problems with crime, violence or vandalism in the neighbourhood",6.1,22.7,71.1,7.5,24.7,67.8,4.7,20.7,74.6
NL,"Problems with crime, violence or vandalism in the neighbourhood",2.5,27.6,69.8,2,26.7,71.3,3.1,28.5,68.3
PL,"Problems with crime, violence or vandalism in the neighbourhood",6.4,22.6,71,6.2,22.7,71.1,6.6,22.5,70.9
PT,"Problems with crime, violence or vandalism in the neighbourhood",3.1,21.3,75.6,2.5,20.8,76.8,3.8,21.9,74.3
RO,"Problems with crime, violence or vandalism in the neighbourhood",4.4,19.7,75.9,4.4,18,77.6,4.4,21.5,74.1
SE,"Problems with crime, violence or vandalism in the neighbourhood",3.2,23.3,73.5,3,22.7,74.4,3.4,24,72.6
SI,"Problems with crime, violence or vandalism in the neighbourhood",2.1,13.8,84.1,2.2,14.7,83.1,1.9,12.9,85.2
SK,"Problems with crime, violence or vandalism in the neighbourhood",2.4,31,66.6,3.3,31,65.7,1.5,31,67.5
UK,"Problems with crime, violence or vandalism in the neighbourhood",7.7,31.6,60.8,6.3,32,61.6,9,31.1,59.9
