CountryCode,question,"Strongly agree,b","Agree,b","Neither agree nor disagree,b","Disagree,b","Strongly disagree,b","Strongly agree,f","Agree,f","Neither agree nor disagree,f","Disagree,f","Strongly disagree,f","Strongly agree,m","Agree,m","Neither agree nor disagree,m","Disagree,m","Strongly disagree,m"
IS,I feel left out of society,1,4.3,7,42.8,44.9,0.8,4.8,7.8,42.7,43.9,1.1,3.7,6.2,42.9,46
ME,I feel left out of society,1.2,6.1,11.4,53.2,28.1,0.8,7,12.5,53,26.7,1.7,5.1,10.3,53.3,29.6
MK,I feel left out of society,3,11.7,13.7,44.9,26.8,3,11.7,13.5,45.3,26.4,2.9,11.6,13.8,44.5,27.2
RS,I feel left out of society,7.4,9.8,20.5,38,24.2,7.5,10.8,22.2,36.8,22.6,7.3,8.7,18.7,39.3,26
TR,I feel left out of society,3.9,9.4,12.4,41.4,32.9,4.1,9.9,12.5,39.9,33.5,3.7,8.9,12.3,42.8,32.2
XK,I feel left out of society,4.1,10.9,16.3,51.1,17.7,4.2,11.8,16.9,50.8,16.3,4,10.1,15.8,51.3,18.9
AT,I feel left out of society,1.6,5.9,9.4,23,60.1,1.7,4.4,12,24.3,57.7,1.5,7.6,6.7,21.7,62.6
BE,I feel left out of society,2.9,12.3,9.8,49,25.9,3.1,12,10,48.6,26.4,2.8,12.7,9.7,49.4,25.4
BG,I feel left out of society,5.3,12.6,18.6,37.3,26.2,5.1,11.6,20.7,35.5,27.1,5.4,13.8,16.2,39.4,25.2
CY,I feel left out of society,13.1,7.6,8.5,56.9,13.9,15.8,8.2,10,54.5,11.4,10.3,6.9,6.9,59.5,16.4
CZ,I feel left out of society,2.5,11.6,14.9,34.2,36.8,2.2,13.1,16.6,33.1,35,2.8,10,13.1,35.4,38.7
DE,I feel left out of society,2.1,6.9,9.8,19.8,61.3,1.7,5.7,10.1,20.9,61.7,2.6,8.2,9.5,18.7,60.9
DK,I feel left out of society,1.4,5.2,6.2,13.5,73.6,1,6.3,4.7,13.8,74.3,1.9,4.2,7.7,13.2,72.9
EE,I feel left out of society,1.8,10.5,15.3,49.6,22.7,1.9,11.1,15.1,49.8,22,1.7,9.6,15.6,49.4,23.6
EL,I feel left out of society,5.1,10.5,14.5,36.5,33.5,5.4,9.4,14.4,35.1,35.7,4.7,11.6,14.5,38,31.2
ES,I feel left out of society,1.8,6.1,7.9,34.3,49.7,2.2,5.9,7.6,35.2,49.1,1.4,6.4,8.3,33.4,50.4
FI,I feel left out of society,1.1,3.2,5.8,44.2,45.7,0.5,2.4,5.1,43.8,48.1,1.7,4.1,6.5,44.6,43.1
FR,I feel left out of society,3.4,12.5,11.5,20.9,51.7,3.8,11.5,11,21.1,52.4,3,13.5,12,20.7,50.8
HR,I feel left out of society,1.9,7.1,8.8,48.5,33.7,2.4,8.4,9.7,48.8,30.8,1.3,5.7,7.9,48.3,36.8
HU,I feel left out of society,1.9,7.5,10.7,40.4,39.6,2.4,6.4,10.8,40,40.5,1.3,8.7,10.5,40.9,38.5
IE,I feel left out of society,1.3,8.5,7.6,60.3,22.3,1.7,7.2,8.7,61.3,21.1,0.9,10,6.4,59.3,23.5
IT,I feel left out of society,1.4,5.1,10.7,36.5,46.2,1.6,6.3,9.4,36,46.8,1.2,3.9,12.2,37.2,45.6
LT,I feel left out of society,1.6,8.7,8.6,55.9,25.2,1.5,9.4,9.3,55.5,24.4,1.8,7.9,7.7,56.3,26.3
LU,I feel left out of society,4.9,13.8,8.2,19.9,53.2,4.4,13,7.9,21.5,53.1,5.4,14.6,8.5,18.2,53.3
LV,I feel left out of society,4.2,9.8,11,42.9,32,4.5,9,11.1,42.8,32.6,3.8,10.9,10.9,43.1,31.4
MT,I feel left out of society,2.1,9,11.2,56.8,21,1.6,10.2,9.7,58.8,19.7,2.7,7.7,12.7,54.7,22.3
NL,I feel left out of society,0.5,3.2,5.4,48.9,42.1,0.7,2.9,5.5,50.3,40.7,0.2,3.5,5.3,47.4,43.5
PL,I feel left out of society,2.5,12.3,14.5,45.7,25,2.6,13.4,14.7,44.7,24.6,2.4,11.1,14.2,46.8,25.4
PT,I feel left out of society,1.2,8.7,12.6,28.3,49.1,0.7,8.6,14.3,27.9,48.5,1.8,8.7,10.8,28.8,49.9
RO,I feel left out of society,1.8,6.4,10.8,40.5,40.6,2.2,7.4,11.3,41,38.1,1.3,5.4,10.2,40,43.2
SE,I feel left out of society,2,6.8,6.4,27.5,57.3,2,7,6.1,25.7,59.2,2,6.6,6.7,29.4,55.4
SI,I feel left out of society,0.8,3.8,9.4,42.2,43.9,0.9,3.5,8.4,42.1,45.1,0.7,4,10.5,42.2,42.6
SK,I feel left out of society,2,6.3,11.3,40.6,39.8,2.2,8.3,12.3,41,36.3,1.8,4,10.3,40.3,43.6
UK,I feel left out of society,2.3,9.6,13.9,48.5,25.6,2.5,8.2,14.3,51.1,23.9,2,11.2,13.6,45.8,27.4
