CountryCode,question,"Much worse,b","Somewhat worse,b","Neither worse nor better,b","Somewhat better,b","Much better,b","Much worse,f","Somewhat worse,f","Neither worse nor better,f","Somewhat better,f","Much better,f","Much worse,m","Somewhat worse,m","Neither worse nor better,m","Somewhat better,m","Much better,m"
IS,Financial situation of the household compared to most people in the country,2.5,9.5,51.8,31.1,5,3.9,11,55.6,25.5,3.9,1.2,8,47.9,36.7,6.2
ME,Financial situation of the household compared to most people in the country,5.7,10,66.1,16,2.2,5.7,9.7,67.4,15.4,1.8,5.6,10.4,64.8,16.6,2.5
MK,Financial situation of the household compared to most people in the country,6.8,16,54.4,17.8,5,6.1,17.5,54.8,17.6,4,7.6,14.4,54,18.1,5.9
RS,Financial situation of the household compared to most people in the country,6.9,15.4,63.7,12.3,1.7,8.9,15.7,62.8,10.8,1.7,4.8,15,64.6,13.8,1.8
TR,Financial situation of the household compared to most people in the country,6.3,12.7,59.3,19.5,2.2,7.1,13.5,60.3,17.4,1.7,5.4,11.9,58.4,21.6,2.8
XK,Financial situation of the household compared to most people in the country,8,10.9,48.2,28.1,4.8,12.1,9.2,48.7,25.2,4.8,4.2,12.5,47.8,30.8,4.7
AT,Financial situation of the household compared to most people in the country,1.7,12,56.4,23.8,6,2.7,11,60.6,20.3,5.3,0.7,13.1,51.8,27.6,6.8
BE,Financial situation of the household compared to most people in the country,0.8,12.3,54.8,29.1,3,1,11.2,59,26.4,2.3,0.6,13.4,50.3,31.9,3.7
BG,Financial situation of the household compared to most people in the country,15.4,21.1,52.7,9.7,1.2,17,20.5,51.9,9.8,0.8,13.6,21.7,53.6,9.5,1.6
CY,Financial situation of the household compared to most people in the country,6.2,12,57.5,21.4,3,5.4,12.6,56.5,23,2.5,7,11.4,58.5,19.6,3.5
CZ,Financial situation of the household compared to most people in the country,4.4,24.5,49.7,18,3.5,4.7,27.7,47.9,17.1,2.5,4,21.1,51.6,18.9,4.4
DE,Financial situation of the household compared to most people in the country,6,15.7,48.2,23.6,6.4,4.7,17.4,50.2,21.4,6.3,7.4,14,46.1,25.9,6.5
DK,Financial situation of the household compared to most people in the country,1.4,13.4,45.6,28.8,10.9,1.7,13.1,46.1,28.5,10.7,1.1,13.8,45.1,29,11
EE,Financial situation of the household compared to most people in the country,8.2,19.2,47.1,22.1,3.4,7.8,21.1,47.6,21,2.5,8.7,16.9,46.4,23.5,4.6
EL,Financial situation of the household compared to most people in the country,11.9,20.9,51.3,14,1.8,12.3,19.7,54,11.7,2.3,11.6,22.3,48.6,16.2,1.4
ES,Financial situation of the household compared to most people in the country,3.5,13.5,60,19,4,3.1,12.8,60.2,19.7,4.2,3.9,14.3,59.8,18.2,3.8
FI,Financial situation of the household compared to most people in the country,3.2,13.1,48.1,30.5,5,2.3,14.7,49.2,29.5,4.3,4.3,11.3,47.1,31.6,5.8
FR,Financial situation of the household compared to most people in the country,2.1,8.1,56.2,26.1,7.6,1.9,7.1,59.7,25.3,6,2.3,9.1,52.3,27,9.2
HR,Financial situation of the household compared to most people in the country,8.5,16,54.4,18.5,2.6,9.3,17.5,54,17,2.2,7.6,14.3,54.9,20.2,3.1
HU,Financial situation of the household compared to most people in the country,7.3,23.8,55.3,12.3,1.4,7.1,27.1,52.7,12.1,0.9,7.4,20,58.3,12.4,1.8
IE,Financial situation of the household compared to most people in the country,6,13,46.5,26.9,7.7,5.8,11.7,49.3,25.7,7.6,6.2,14.4,43.6,28.2,7.7
IT,Financial situation of the household compared to most people in the country,2.5,11.5,63.6,20.6,1.8,3.4,11.9,64.9,17.8,2.1,1.6,11.2,62.2,23.6,1.4
LT,Financial situation of the household compared to most people in the country,5.1,14.5,54.5,22.8,3.1,6.4,13.3,57.7,20.9,1.6,3.5,15.8,50.6,25.1,5
LU,Financial situation of the household compared to most people in the country,1.6,6.4,60.3,24.9,6.8,1.6,7.1,64.8,21.3,5.2,1.6,5.8,55.6,28.6,8.4
LV,Financial situation of the household compared to most people in the country,7.2,13.8,58.9,16.4,3.8,8,14.7,59.3,14.7,3.3,6.2,12.7,58.4,18.4,4.4
MT,Financial situation of the household compared to most people in the country,3.2,10.5,66,18.2,2.1,2.7,9,69.7,16.4,2.2,3.7,12,62.2,20.1,2
NL,Financial situation of the household compared to most people in the country,5,13.7,38.6,28.8,13.9,3.8,15.2,40.3,29.5,11.2,6.3,12,36.9,28.1,16.8
PL,Financial situation of the household compared to most people in the country,8.2,17.9,56.2,14.1,3.6,8.8,20,54.5,13.7,3,7.5,15.5,58.2,14.5,4.3
PT,Financial situation of the household compared to most people in the country,4.2,19.7,55.5,18.9,1.7,4.2,21.1,53.8,18.6,2.2,4.2,18.2,57.4,19.2,1.1
RO,Financial situation of the household compared to most people in the country,8.6,14.3,49.6,24.7,2.9,10.3,16,52.2,19.5,1.9,6.8,12.4,46.8,30.2,3.8
SE,Financial situation of the household compared to most people in the country,5.1,13.5,40.1,32.9,8.4,5.7,13.9,44,30.5,6,4.5,13.1,36.1,35.4,10.9
SI,Financial situation of the household compared to most people in the country,9.9,20.8,51.7,16.9,0.7,9.5,23.9,47.3,19.3,0.1,10.3,17.6,56.2,14.5,1.3
SK,Financial situation of the household compared to most people in the country,10.8,23.1,50.3,14.6,1.2,12,27.2,48.2,11.4,1.2,9.6,18.7,52.6,18,1.1
UK,Financial situation of the household compared to most people in the country,4.4,16.9,46.7,25.6,6.4,4,17.9,49.5,23.5,5.1,4.8,15.9,43.7,27.8,7.8
